,Image Time Start,Image Time End,MAC,Image,Status
96,2018-08-06 09:44:00,2018-08-06 09:53:45,48:5b:39:64:40:79,25,0
97,2018-08-06 09:54:00,2018-08-06 10:03:45,48:5b:39:64:40:79,26,0
98,2018-08-06 10:04:00,2018-08-06 10:13:45,48:5b:39:64:40:79,27,0
99,2018-08-06 10:14:00,2018-08-06 10:23:45,48:5b:39:64:40:79,28,0
100,2018-08-06 10:24:00,2018-08-06 10:33:45,48:5b:39:64:40:79,29,0
101,2018-08-06 10:34:00,2018-08-06 10:43:45,48:5b:39:64:40:79,30,0
102,2018-08-06 10:44:00,2018-08-06 10:53:45,48:5b:39:64:40:79,31,0
103,2018-08-06 10:54:00,2018-08-06 11:03:45,48:5b:39:64:40:79,32,0
104,2018-08-06 11:04:00,2018-08-06 11:13:45,48:5b:39:64:40:79,33,0
105,2018-08-06 11:14:00,2018-08-06 11:23:45,48:5b:39:64:40:79,34,0
106,2018-08-06 11:24:00,2018-08-06 11:33:45,48:5b:39:64:40:79,35,0
107,2018-08-06 11:34:00,2018-08-06 11:43:45,48:5b:39:64:40:79,36,0
108,2018-08-06 05:49:00,2018-08-06 05:58:45,00:0c:29:e6:14:0d,1,1
109,2018-08-06 05:59:00,2018-08-06 06:03:45,00:0c:29:e6:14:0d,2,1
